city,country,country_code,latitude,longitude,population,hospitals,clinics,health_centers,pharmacies,laboratories,total_facilities,facilities_per_100k,hospital_beds_total,hospital_beds_per_10k,icu_beds_estimated,physicians_per_100k,nurses_per_100k,chw_per_100k,total_health_workers,daily_test_capacity,test_capacity_per_100k,cold_chain_score,pharma_import_dependency_pct,has_local_production,health_expenditure_per_capita,out_of_pocket_pct,jee_prevent,jee_detect,jee_respond,ghsi_overall,haq_index,medical_services_score,health_capacity_score,supply_chain_resilience_index
Nacala,Mozambique,MZ,-14.5186,40.715,224795,1,15,0,0,0,16,7.1,133,5.9,3,7.2,75.1,40.0,275,0,0.0,40.0,99.0,0,53.0,10.4,2.0,2.3,2.0,22.3,32.0,32.0,39.0,18.0
Gueckedou,Guinea,GN,8.554,-10.151,221715,1,24,0,3,0,28,12.6,22,1.0,0,3.7,7.7,30.0,92,0,0.0,35.0,99.0,0,59.3,54.4,2.0,2.3,2.0,23.1,30.0,30.0,62.0,13.3
Saint-Louis,Mauritania,MR,16.02,-16.51,220792,1,0,0,0,0,1,0.5,93,4.2,2,27.5,3.0,15.0,100,0,0.0,38.0,99.0,0,92.1,43.8,1.8,2.0,1.8,19.9,34.0,34.0,20.0,15.6
Polokwane,South Africa,ZA,-23.89,29.45,220045,1,13,0,9,0,31,14.1,593,26.9,30,91.8,881.2,25.0,2196,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,71.0,60.5
Gabès,Tunisia,TN,33.9004,10.1,219517,1,5,0,10,0,17,7.7,298,13.6,15,92.4,61.8,15.0,371,0,0.0,82.0,72.0,1,317.7,37.9,3.3,3.5,3.3,39.8,65.0,65.0,54.0,41.4
Dodoma,Tanzania,TZ,-6.1833,35.75,218269,13,109,0,35,3,160,73.3,295,13.5,6,28.3,44.4,40.0,246,150,68.7,62.0,88.0,1,36.3,27.9,2.5,3.0,2.5,29.5,36.0,36.0,67.0,31.5
Bertoua,Cameroon,CM,4.5804,13.68,218111,0,1,0,6,0,7,3.2,191,8.8,4,2.9,15.7,20.0,84,0,0.0,48.0,90.0,1,79.1,67.7,2.0,2.5,2.0,28.0,38.0,38.0,25.0,19.8
Mallawi,Egypt,EG,27.7304,30.84,217365,0,0,0,0,0,0,0.0,101,4.6,5,51.7,19.8,15.0,188,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,22.0,32.2
Owerri,Nigeria,NG,5.493,7.026,215038,2,5,0,18,1,26,12.1,34,1.6,1,13.0,223.1,30.0,572,46,21.4,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,70.0,27.4
Limbe,Cameroon,CM,4.0304,9.19,212474,4,40,0,22,2,68,32.0,763,35.9,15,11.9,156.9,20.0,401,83,39.1,48.0,90.0,1,79.1,67.7,2.0,2.5,2.0,28.0,38.0,38.0,55.0,38.1
San-Pedro,Ivory Coast,CI,4.7704,-6.64,210273,0,0,0,0,0,0,0.0,212,10.1,4,64.3,250.3,30.0,725,0,0.0,50.0,88.0,1,87.7,32.0,2.3,2.5,2.3,26.7,36.0,36.0,14.0,30.8
Toamasina,Madagascar,MG,-18.1818,49.405,210226,1,14,0,20,0,35,16.6,9,0.4,0,1.5,18.6,40.0,126,0,0.0,35.0,99.0,0,17.4,27.4,2.0,2.3,1.8,20.7,32.0,32.0,48.0,11.9
Ijebu Ode,Nigeria,NG,6.8204,3.92,209175,1,1,0,0,0,2,1.0,17,0.8,0,6.7,17.6,30.0,114,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,23.0,19.1
Tema,Ghana,GH,5.6404,0.01,209000,13,28,0,156,2,210,100.5,780,37.3,16,155.5,1776.6,30.0,4101,100,47.8,68.0,80.0,1,70.3,26.7,2.5,3.0,2.5,32.7,45.0,45.0,71.0,54.6
Sidi bel Abbes,Algeria,DZ,35.1903,-0.64,208604,13,75,0,111,5,217,104.0,918,44.0,46,453.5,457.1,15.0,1931,283,135.7,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,78.0,71.7
Gaborone,Botswana,BW,-24.6463,25.9119,208411,3,28,0,15,0,50,24.0,491,23.6,10,42.8,302.3,25.0,771,0,0.0,65.0,99.0,0,489.6,4.3,2.8,3.0,2.7,32.9,48.0,48.0,59.0,47.5
Lobito,Angola,AO,-12.37,13.5412,207932,0,0,0,12,0,12,5.8,192,9.2,4,24.7,118.7,25.0,350,0,0.0,35.0,99.0,0,76.1,32.5,1.8,2.0,1.8,22.7,32.0,32.0,30.0,20.3
Bahir Dar,Ethiopia,ET,11.6001,37.3833,206748,5,8,0,8,0,21,10.2,121,5.9,2,27.7,110.3,40.0,368,0,0.0,62.0,85.0,1,34.8,46.3,2.5,3.0,2.5,28.4,34.0,34.0,59.0,25.5
Yamoussoukro,Ivory Coast,CI,6.8184,-5.2755,206499,0,0,0,0,0,0,0.0,212,10.3,4,65.4,254.9,30.0,723,0,0.0,50.0,88.0,1,87.7,32.0,2.3,2.5,2.3,26.7,36.0,36.0,14.0,31.1
Kalemie,Congo (Kinshasa),CD,-5.9333,29.2,206257,1,25,0,4,0,30,14.5,90,4.4,1,11.3,123.0,20.0,318,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,46.0,16.6
Edéa,Cameroon,CM,3.8005,10.12,203149,0,1,0,3,0,4,2.0,191,9.4,4,3.1,9.7,20.0,67,0,0.0,48.0,90.0,1,79.1,67.7,2.0,2.5,2.0,28.0,38.0,38.0,21.0,19.9
Djougou,Benin,BJ,9.7004,1.68,202810,2,0,0,2,0,4,2.0,25,1.2,0,6.0,3.6,30.0,80,0,0.0,45.0,99.0,0,46.5,42.4,2.0,2.3,2.0,24.3,38.0,38.0,31.0,14.6
Biskra,Algeria,DZ,34.86,5.73,202103,10,37,0,52,3,108,53.4,706,34.9,35,360.1,234.8,15.0,1233,170,84.1,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,78.0,64.2
Al Khums,Libya,LY,32.6604,14.26,201943,16,34,0,58,0,119,58.9,1957,96.9,98,565.5,1107.6,15.0,3409,0,0.0,58.0,99.0,0,470.4,19.2,2.5,2.8,2.5,24.7,58.0,58.0,68.0,60.7
Gedaref,Sudan,SD,14.04,35.38,201282,0,1,0,0,0,1,0.5,80,4.0,2,15.0,5.7,15.0,72,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,16.0,14.9
Kasama,Zambia,ZM,-10.1996,31.1799,200000,1,2,0,2,0,5,2.5,235,11.8,5,9.6,55.0,25.0,179,0,0.0,50.0,93.0,1,79.6,10.3,2.5,2.8,2.5,27.4,38.0,38.0,28.0,23.9
Nema,Mauritania,MR,16.6171,-7.25,200000,0,0,0,0,0,0,0.0,93,4.7,2,30.4,3.3,15.0,97,0,0.0,38.0,99.0,0,92.1,43.8,1.8,2.0,1.8,19.9,34.0,34.0,14.0,15.9
Az Zawiyah,Libya,LY,32.7604,12.72,200000,14,51,0,76,3,150,75.0,1713,85.7,86,499.6,1409.7,15.0,3849,139,69.5,58.0,99.0,0,470.4,19.2,2.5,2.8,2.5,24.7,58.0,58.0,68.0,65.9
Taza,Morocco,MA,34.2204,-4.02,199633,0,0,0,60,0,60,30.1,112,5.6,6,61.1,41.9,15.0,236,0,0.0,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,51.0,35.2
Rashid,Egypt,EG,31.4604,30.39,199509,0,0,0,1,0,1,0.5,101,5.1,5,56.4,21.6,15.0,185,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,24.0,32.5
Gemena,Congo (Kinshasa),CD,3.26,19.77,198056,0,0,0,1,0,1,0.5,90,4.5,1,11.8,4.3,20.0,71,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,13.0,13.2
Mbanza-Ngungu,Congo (Kinshasa),CD,-5.2496,14.86,197545,0,8,0,0,0,8,4.0,90,4.6,1,11.8,34.2,20.0,130,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,23.0,14.1
Brikama,The Gambia,GM,13.2804,-16.6599,195136,6,3,0,6,0,15,7.7,217,11.1,4,9.0,65.8,30.0,205,0,0.0,48.0,99.0,0,25.7,33.8,2.0,2.3,1.8,21.5,38.0,38.0,61.0,19.9
Bongor,Chad,TD,10.2859,15.3872,193941,1,13,0,0,0,14,7.2,9,0.5,0,2.5,29.6,20.0,101,0,0.0,22.0,99.0,0,47.4,51.7,1.5,1.5,1.3,15.1,24.0,24.0,36.0,9.4
Ziguinchor,Senegal,SN,12.59,-16.29,191716,2,10,0,14,0,26,13.6,455,23.7,9,41.3,27.0,30.0,189,0,0.0,55.0,90.0,1,73.2,44.3,2.5,3.0,2.5,30.1,38.0,38.0,63.0,29.8
Mwene-Ditu,Congo (Kinshasa),CD,-7.0,23.44,189177,2,2,0,1,0,5,2.6,179,9.5,2,24.7,22.3,20.0,127,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,29.0,16.1
Kabwe,Zambia,ZM,-14.44,28.45,188979,6,38,0,0,0,44,23.3,1409,74.6,28,60.8,512.3,25.0,1130,0,0.0,50.0,93.0,1,79.6,10.3,2.5,2.8,2.5,27.4,38.0,38.0,60.0,52.3
Quelimane,Mozambique,MZ,-17.88,36.89,188964,0,28,0,3,0,31,16.4,133,7.0,3,8.6,173.2,40.0,419,0,0.0,40.0,99.0,0,53.0,10.4,2.0,2.3,2.0,22.3,32.0,32.0,43.0,21.4
Parakou,Benin,BJ,9.34,2.62,188853,9,20,0,24,1,55,29.1,111,5.9,2,29.0,53.5,30.0,212,38,20.1,45.0,99.0,0,46.5,42.4,2.0,2.3,2.0,24.3,38.0,38.0,60.0,20.1
Mostaganem,Algeria,DZ,35.9404,0.09,188354,9,77,0,71,0,165,87.6,636,33.8,32,347.7,384.9,15.0,1408,0,0.0,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,57.5
Laayoune,Morocco,MA,27.15,-13.2,188084,1,2,0,109,0,112,59.5,112,6.0,6,64.9,83.0,15.0,306,0,0.0,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,56.0,36.7
Paarl,South Africa,ZA,-33.6996,18.96,187865,1,14,0,13,0,36,19.2,593,31.6,30,107.5,1198.6,25.0,2501,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,56.0,62.3
Shendi,Sudan,SD,16.6805,33.42,186611,0,0,0,0,0,0,0.0,80,4.3,2,16.2,6.2,15.0,70,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,14.0,15.1
Ad Damazīn,Sudan,SD,11.7704,34.35,186051,0,0,0,0,0,0,0.0,80,4.3,2,16.2,6.2,15.0,70,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,14.0,15.1
Jamaame,Somalia,SO,0.0722,42.7506,185270,1,0,0,0,0,1,0.5,153,8.3,2,6.2,20.0,40.0,123,0,0.0,18.0,99.0,0,22.4,30.8,1.0,1.3,1.0,10.7,19.0,19.0,14.0,10.3
Yei,South Sudan,SS,4.0904,30.68,185000,1,1,0,0,0,2,1.1,26,1.4,0,2.6,1.7,40.0,82,0,0.0,15.0,99.0,0,72.8,27.1,1.0,1.3,1.0,11.7,18.0,18.0,16.0,7.5
Tiarat,Algeria,DZ,35.3804,1.32,184195,9,63,0,96,1,177,96.1,636,34.5,32,355.6,422.2,15.0,1460,56,30.4,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,60.1
Fianarantsoa,Madagascar,MG,-21.4333,47.0833,184184,2,49,0,16,2,78,42.3,19,1.0,0,3.3,47.4,40.0,167,76,41.3,35.0,99.0,0,17.4,27.4,2.0,2.3,1.8,20.7,32.0,32.0,53.0,16.1
Dese,Ethiopia,ET,11.13,39.63,183802,0,5,0,2,0,7,3.8,24,1.3,0,6.2,41.4,40.0,161,0,0.0,62.0,85.0,1,34.8,46.3,2.5,3.0,2.5,28.4,34.0,34.0,25.0,20.9
Gweru,Zimbabwe,ZW,-19.45,29.82,183358,1,4,0,3,1,9,4.9,456,24.9,9,23.8,178.0,25.0,416,46,25.1,45.0,90.0,1,62.9,10.6,2.5,2.8,2.5,26.1,40.0,40.0,36.0,34.4
Shibin el Kom,Egypt,EG,30.592,30.9,182900,5,3,0,3,0,12,6.6,505,27.6,25,307.4,283.0,15.0,1107,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,65.0,54.2
Chingola,Zambia,ZM,-12.5396,27.85,182015,1,19,0,0,0,20,11.0,235,12.9,5,10.5,241.8,25.0,505,0,0.0,50.0,93.0,1,79.6,10.3,2.5,2.8,2.5,27.4,38.0,38.0,50.0,30.0
Funtua,Nigeria,NG,11.5204,7.32,180475,2,0,0,0,0,2,1.1,34,1.9,1,15.5,20.4,30.0,119,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,28.0,19.9
El Jadida,Morocco,MA,33.2604,-8.51,180470,0,0,0,148,0,151,83.7,112,6.2,6,67.6,116.6,15.0,360,0,0.0,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,51.0,37.9
Zuwara,Libya,LY,32.9344,12.0791,180310,3,10,0,17,0,31,17.2,367,20.4,18,118.7,323.2,15.0,824,0,0.0,58.0,99.0,0,470.4,19.2,2.5,2.8,2.5,24.7,58.0,58.0,63.0,47.1
Obuasi,Ghana,GH,6.1904,-1.66,180117,1,1,0,2,0,4,2.2,60,3.3,1,13.9,39.3,30.0,150,0,0.0,68.0,80.0,1,70.3,26.7,2.5,3.0,2.5,32.7,45.0,45.0,30.0,24.0
Klerksdorp,South Africa,ZA,-26.88,26.62,178921,4,6,0,10,1,27,15.1,2374,132.7,119,451.4,943.9,25.0,2541,58,32.4,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,76.0,72.1
El Arish,Egypt,EG,31.1249,33.8006,178651,1,0,0,1,0,2,1.1,101,5.7,5,62.9,48.3,15.0,226,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,30.0,33.8
Boma,Congo (Kinshasa),CD,-5.83,13.05,178638,2,0,0,0,0,2,1.1,179,10.0,2,26.1,9.5,20.0,99,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,24.0,15.9
Korhogo,Ivory Coast,CI,9.46,-5.64,177711,0,0,0,0,0,0,0.0,212,11.9,4,76.1,296.2,30.0,715,0,0.0,50.0,88.0,1,87.7,32.0,2.3,2.5,2.3,26.7,36.0,36.0,14.0,33.3
El Oued,Algeria,DZ,33.3704,6.86,177497,9,35,0,21,1,70,39.4,636,35.8,32,369.0,173.3,15.0,989,56,31.5,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,60.7
Kadugli,Sudan,SD,11.01,29.7,176931,0,0,0,0,0,0,0.0,80,4.5,2,17.0,6.5,15.0,68,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,14.0,15.2
Ouargla,Algeria,DZ,31.97,5.34,176271,5,17,0,28,0,54,30.6,353,20.0,18,206.4,134.6,15.0,628,0,0.0,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,47.2
Entebbe,Uganda,UG,0.0604,32.46,175128,49,78,0,18,1,147,83.9,96,5.5,2,22.7,143.2,40.0,361,50,28.6,55.0,85.0,1,45.2,32.2,2.8,3.0,2.8,31.1,38.0,38.0,60.0,28.4
Harar,Ethiopia,ET,9.32,42.15,174994,2,1,0,10,0,13,7.4,49,2.8,1,13.1,80.7,40.0,234,0,0.0,62.0,85.0,1,34.8,46.3,2.5,3.0,2.5,28.4,34.0,34.0,54.0,22.9
George,South Africa,ZA,-33.95,22.45,174582,1,7,0,20,0,39,22.3,593,34.0,30,115.7,1397.2,25.0,2685,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,56.0,63.3
Bo,Sierra Leone,SL,7.97,-11.74,174354,2,6,0,58,0,66,37.9,65,3.7,1,12.6,359.9,30.0,702,0,0.0,35.0,99.0,0,35.8,54.5,2.3,2.5,2.3,24.4,30.0,30.0,52.0,25.6
Bida,Nigeria,NG,9.0804,6.01,173849,5,34,0,0,0,39,22.4,84,4.8,2,40.2,413.9,30.0,842,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,60.0,33.6
Bata,Equatorial Guinea,GQ,1.87,9.77,173046,0,2,0,0,0,2,1.2,345,19.9,7,14.5,52.3,20.0,150,0,0.0,32.0,99.0,0,233.7,66.0,1.5,1.8,1.5,16.5,45.0,45.0,22.0,24.1
Tébessa,Algeria,DZ,35.4104,8.12,171742,1,17,0,27,2,48,27.9,71,4.1,4,42.4,122.8,15.0,309,113,65.8,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,60.0,40.5
Djelfa,Algeria,DZ,34.68,3.25,170901,9,83,0,51,1,151,88.4,636,37.2,32,383.2,388.2,15.0,1344,56,32.8,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,78.0,61.3
Uvira,Congo (Kinshasa),CD,-3.37,29.14,170391,0,10,0,0,0,10,5.9,90,5.3,1,13.7,49.6,20.0,142,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,29.0,14.9
Al Marj,Libya,LY,32.5005,20.83,169540,5,10,0,28,0,43,25.4,612,36.1,31,210.5,476.7,15.0,1191,0,0.0,58.0,99.0,0,470.4,19.2,2.5,2.8,2.5,24.7,58.0,58.0,68.0,55.1
Sarh,Chad,TD,9.15,18.39,169196,0,8,0,2,0,10,5.9,9,0.5,0,2.8,24.3,20.0,80,0,0.0,22.0,99.0,0,47.4,51.7,1.5,1.5,1.3,15.1,24.0,24.0,27.0,9.3
Atbarah,Sudan,SD,17.71,33.98,168612,3,0,0,0,0,3,1.8,239,14.2,5,53.6,20.5,15.0,150,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,29.0,20.6
Nzérékoré,Guinea,GN,7.76,-8.83,168121,2,24,0,33,0,59,35.1,43,2.6,1,9.8,21.5,30.0,103,0,0.0,35.0,99.0,0,59.3,54.4,2.0,2.3,2.0,23.1,30.0,30.0,67.0,14.5
Benha,Egypt,EG,30.4667,31.1833,167029,2,4,0,4,0,12,7.2,202,12.1,10,134.6,309.9,15.0,768,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,54.0,46.4
Rustenburg,South Africa,ZA,-25.65,27.24,165976,1,8,0,5,0,16,9.6,593,35.7,30,121.7,602.9,25.0,1244,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,63.0,64.0
Livingstone,Zambia,ZM,-17.86,25.86,165480,0,1,0,4,0,6,3.6,235,14.2,5,11.6,79.8,25.0,193,0,0.0,50.0,93.0,1,79.6,10.3,2.5,2.8,2.5,27.4,38.0,38.0,26.0,25.7
Kimberley,South Africa,ZA,-28.7468,24.77,165264,1,7,0,5,0,13,7.9,593,35.9,30,122.2,492.0,25.0,1056,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,50.0,64.1
Kigoma,Tanzania,TZ,-4.8796,29.61,164268,6,13,0,42,0,61,37.1,136,8.3,3,17.3,22.5,40.0,131,0,0.0,62.0,88.0,1,36.3,27.9,2.5,3.0,2.5,29.5,36.0,36.0,67.0,23.2
Geneina,Sudan,SD,13.45,22.44,162981,2,0,0,0,0,2,1.2,159,9.8,3,37.0,14.1,15.0,108,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,28.0,18.2
Settat,Morocco,MA,33.0104,-7.62,161748,1,2,0,197,1,203,125.5,112,6.9,6,75.4,174.9,15.0,429,58,35.9,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,56.0,42.8
Bhisho,South Africa,ZA,-32.87,27.39,160997,0,1,0,1,0,2,1.2,593,36.8,30,125.4,77.7,25.0,367,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,24.0,55.5
Malakal,South Sudan,SS,9.5369,31.656,160765,0,1,0,0,0,1,0.6,26,1.6,0,3.0,1.0,40.0,71,0,0.0,15.0,99.0,0,72.8,27.1,1.0,1.3,1.0,11.7,18.0,18.0,9.0,7.6
Bumba,Congo (Kinshasa),CD,2.19,22.46,160539,0,0,0,0,0,0,0.0,90,5.6,1,14.5,5.3,20.0,64,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,11.0,13.7
Zarzis,Tunisia,TN,33.5104,11.1,159161,1,8,0,6,0,15,9.4,298,18.7,15,127.5,75.2,15.0,346,0,0.0,82.0,72.0,1,317.7,37.9,3.3,3.5,3.3,39.8,65.0,65.0,67.0,44.9
Abéché,Chad,TD,13.84,20.83,158317,3,0,0,2,0,5,3.2,27,1.7,0,9.0,13.0,20.0,66,0,0.0,22.0,99.0,0,47.4,51.7,1.5,1.5,1.3,15.1,24.0,24.0,29.0,9.6
Hurghada,Egypt,EG,27.23,33.83,157204,6,12,0,38,0,62,39.4,605,38.5,30,429.1,1701.2,15.0,3373,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,75.0,58.6
Isiro,Congo (Kinshasa),CD,2.76,27.62,157196,1,1,0,1,0,3,1.9,90,5.7,1,14.8,16.1,20.0,80,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,22.0,14.1
Moundou,Chad,TD,8.55,16.09,156705,2,2,0,3,0,8,5.1,18,1.1,0,6.1,21.0,20.0,74,0,0.0,22.0,99.0,0,47.4,51.7,1.5,1.5,1.3,15.1,24.0,24.0,35.0,9.5
Koforidua,Ghana,GH,6.0904,-0.26,156653,2,14,0,36,2,56,35.7,120,7.7,2,31.9,632.1,30.0,1087,100,63.8,68.0,80.0,1,70.3,26.7,2.5,3.0,2.5,32.7,45.0,45.0,66.0,44.0
Gondar,Ethiopia,ET,12.61,37.46,156230,3,7,0,7,0,18,11.5,73,4.7,1,22.0,125.1,40.0,292,0,0.0,62.0,85.0,1,34.8,46.3,2.5,3.0,2.5,28.4,34.0,34.0,62.0,25.3
Malabo,Equatorial Guinea,GQ,3.75,8.7833,155963,0,1,0,7,0,8,5.1,345,22.1,7,16.1,232.0,20.0,418,0,0.0,32.0,99.0,0,233.7,66.0,1.5,1.8,1.5,16.5,45.0,45.0,33.0,30.4
Middelburg,South Africa,ZA,-25.7596,29.47,154706,0,0,0,7,0,7,4.5,593,38.3,30,130.5,283.0,25.0,678,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,34.0,62.4
Mahajanga,Madagascar,MG,-15.67,46.345,154657,3,19,0,19,1,42,27.2,28,1.8,1,5.9,30.4,40.0,118,38,24.6,35.0,99.0,0,17.4,27.4,2.0,2.3,1.8,20.7,32.0,32.0,61.0,14.8
Gandajika,Congo (Kinshasa),CD,-6.7396,23.96,154425,4,0,0,0,0,4,2.6,359,23.2,4,60.4,21.9,20.0,158,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,29.0,22.6
Moanda,Congo (Kinshasa),CD,-5.9229,12.355,153915,0,0,0,2,0,3,1.9,90,5.8,1,15.2,16.5,20.0,79,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,17.0,14.2
Mufulira,Zambia,ZM,-12.55,28.26,153624,1,12,0,0,0,13,8.5,235,15.3,5,12.5,186.2,25.0,344,0,0.0,50.0,93.0,1,79.6,10.3,2.5,2.8,2.5,27.4,38.0,38.0,46.0,29.4
Samalut,Egypt,EG,28.3004,30.71,152097,2,0,0,1,0,3,2.0,202,13.3,10,147.8,85.1,15.0,377,0,0.0,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,38.0,40.5
Luanshya,Zambia,ZM,-13.1333,28.4,151993,2,15,0,1,0,18,11.8,470,30.9,9,25.2,260.6,25.0,472,0,0.0,50.0,93.0,1,79.6,10.3,2.5,2.8,2.5,27.4,38.0,38.0,55.0,38.2
El Manaqil,Sudan,SD,14.2504,32.98,151827,2,2,0,1,0,5,3.3,159,10.5,3,39.7,37.9,15.0,141,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,34.0,19.2
Benguela,Angola,AO,-12.5783,13.4072,151226,0,1,0,0,0,1,0.7,192,12.7,4,34.0,13.6,25.0,110,0,0.0,35.0,99.0,0,76.1,32.5,1.8,2.0,1.8,22.7,32.0,32.0,15.0,18.8
Kitale,Kenya,KE,1.0305,34.9899,150495,7,17,0,0,0,24,15.9,213,14.2,4,27.6,74.6,40.0,214,0,0.0,65.0,75.0,1,85.0,24.2,3.0,3.3,2.8,35.1,42.0,42.0,62.0,31.1
Vryheid,South Africa,ZA,-27.76,30.79,150012,0,1,0,1,0,2,1.3,593,39.5,30,134.6,83.4,25.0,365,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,25.0,57.1
Keren,Eritrea,ER,15.6804,38.45,150000,0,1,0,0,0,1,0.7,261,17.4,3,15.1,92.1,40.0,221,0,0.0,28.0,99.0,0,28.3,48.4,1.8,2.0,1.8,16.9,28.0,28.0,13.0,20.4
M'sila,Algeria,DZ,35.7,4.545,150000,3,21,0,35,5,69,46.0,212,14.1,11,145.5,202.1,15.0,544,283,188.7,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,65.0,59.2
Tororo,Uganda,UG,0.7104,34.17,150000,31,209,0,23,0,264,176.0,61,4.1,1,16.8,300.2,40.0,535,0,0.0,55.0,85.0,1,45.2,32.2,2.8,3.0,2.8,31.1,38.0,38.0,60.0,30.2
Diourbel,Senegal,SN,14.6604,-16.24,148024,0,10,0,26,0,40,27.0,227,15.3,5,26.8,53.8,30.0,164,0,0.0,55.0,90.0,1,73.2,44.3,2.5,3.0,2.5,30.1,38.0,38.0,60.0,26.8
Jijel,Algeria,DZ,36.822,5.766,148000,2,47,0,63,4,125,84.5,141,9.5,7,98.3,371.1,15.0,717,226,152.7,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,65.0,58.3
Médéa,Algeria,DZ,36.2704,2.77,147707,7,83,0,55,1,164,111.0,494,33.4,25,344.9,487.9,15.0,1252,56,37.9,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,70.0,60.2
Man,Ivory Coast,CI,7.4004,-7.55,146974,0,0,0,0,0,0,0.0,212,14.4,4,92.0,358.1,30.0,706,0,0.0,50.0,88.0,1,87.7,32.0,2.3,2.5,2.3,26.7,36.0,36.0,14.0,36.6
Wamba,Congo (Kinshasa),CD,2.1404,27.99,146871,0,0,0,0,0,0,0.0,90,6.1,1,15.9,5.8,20.0,61,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,11.0,14.0
