city,country,country_code,latitude,longitude,population,hospitals,clinics,health_centers,pharmacies,laboratories,total_facilities,facilities_per_100k,hospital_beds_total,hospital_beds_per_10k,icu_beds_estimated,physicians_per_100k,nurses_per_100k,chw_per_100k,total_health_workers,daily_test_capacity,test_capacity_per_100k,cold_chain_score,pharma_import_dependency_pct,has_local_production,health_expenditure_per_capita,out_of_pocket_pct,jee_prevent,jee_detect,jee_respond,ghsi_overall,haq_index,medical_services_score,health_capacity_score,supply_chain_resilience_index
Lomé,Togo,TG,6.1339,1.2208,1452000,80,144,0,226,9,482,33.2,306,2.1,6,3.8,38.0,30.0,1041,375,25.8,42.0,99.0,0,59.6,64.3,2.3,2.5,2.0,23.7,36.0,36.0,74.0,17.6
Maputo,Mozambique,MZ,-25.9533,32.5872,1446000,5,24,0,54,0,87,6.0,665,4.6,13,5.6,63.5,40.0,1578,0,0.0,40.0,99.0,0,53.0,10.4,2.0,2.3,2.0,22.3,32.0,32.0,46.0,17.1
Kaduna,Nigeria,NG,10.522,7.4381,1442000,241,2,0,7,1,258,17.9,4066,28.2,81,233.5,330.1,30.0,8559,46,3.2,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,75.0,44.6
Kampala,Uganda,UG,0.3186,32.5814,1420000,211,1046,0,391,3,1703,119.9,416,2.9,8,12.1,204.5,40.0,3644,150,10.6,55.0,85.0,1,45.2,32.2,2.8,3.0,2.8,31.1,38.0,38.0,75.0,27.5
Brazzaville,Congo (Brazzaville),CG,-4.2572,15.2827,1355000,0,0,0,0,0,0,0.0,1130,8.3,23,25.9,69.6,20.0,1565,0,0.0,38.0,99.0,0,75.6,28.0,1.8,2.0,1.8,21.5,36.0,36.0,14.0,18.9
Lubumbashi,Congo (Kinshasa),CD,-11.6781,27.4781,1352000,4,78,0,17,0,99,7.3,359,2.7,4,6.9,61.9,20.0,1201,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,43.0,14.0
Pretoria,South Africa,ZA,-25.705,28.2275,1338000,15,97,0,148,3,406,30.3,8901,66.5,445,226.4,1897.9,25.0,28757,175,13.1,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,81.0,70.7
Lusaka,Zambia,ZM,-15.4147,28.2814,1328000,13,32,0,23,1,72,5.4,3054,23.0,61,18.7,119.3,25.0,2165,46,3.5,50.0,93.0,1,79.6,10.3,2.5,2.8,2.5,27.4,38.0,38.0,61.0,30.9
Mbuji-Mayi,Congo (Kinshasa),CD,-6.1481,23.5981,1295000,11,0,0,1,0,12,0.9,987,7.6,10,19.8,7.8,20.0,617,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,29.0,14.7
Benin City,Nigeria,NG,6.3424,5.6181,1190000,2,6,0,47,2,60,5.0,34,0.3,1,2.3,93.0,30.0,1492,93,7.8,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,40.0,21.6
Banghazi,Libya,LY,32.1187,20.0648,1180000,18,62,0,84,3,172,14.6,2202,18.7,110,108.9,274.0,15.0,4695,139,11.8,58.0,99.0,0,470.4,19.2,2.5,2.8,2.5,24.7,58.0,58.0,68.0,45.5
Ouagadougou,Burkina Faso,BF,12.3723,-1.5267,1149000,0,0,0,0,0,0,0.0,150,1.3,3,7.0,54.1,30.0,1047,0,0.0,42.0,99.0,0,71.7,43.8,2.3,2.5,2.0,22.6,32.0,32.0,13.0,16.2
Mogadishu,Somalia,SO,2.0686,45.3647,1100000,6,3,0,1,0,10,0.9,919,8.4,9,6.2,33.7,40.0,880,0,0.0,18.0,99.0,0,22.4,30.8,1.0,1.3,1.0,10.7,19.0,19.0,25.0,10.8
Huambo,Angola,AO,-12.748,15.7581,1100000,0,1,0,3,0,4,0.4,192,1.7,4,4.7,7.5,25.0,409,0,0.0,35.0,99.0,0,76.1,32.5,1.8,2.0,1.8,22.7,32.0,32.0,14.0,13.3
Ikare,Nigeria,NG,7.5304,5.76,1099931,0,1,0,0,0,1,0.1,17,0.2,0,1.3,1.7,30.0,362,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,15.0,18.2
Vereeniging,South Africa,ZA,-26.6477,27.958,1074000,0,4,0,2,0,6,0.6,593,5.5,30,18.8,34.9,25.0,846,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,23.0,38.5
Monrovia,Liberia,LR,6.3146,-10.7997,1041000,9,201,0,34,1,245,23.5,1655,15.9,33,17.8,83.5,30.0,1367,38,3.7,32.0,99.0,0,103.9,63.2,2.0,2.3,2.0,22.2,32.0,32.0,73.0,22.7
